espacio_cultural_id,provincia_id,localidad_id,observaciones,ID MA-MUSEOS_AR-OSM,provincia,localidad,Wikidata,Wikipedia,Commons,ID OSM,Orbita?,Oranismo del que depende,catálogo,latitud,longitud,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,web,fuente,juridisccion,anio_de_creacion,descripcion_de_patrimonio,anio_de_inauguracion,Horarios,Otros datos,
300045,06,06056010,,MA-MUSEOS_AR-OSM-0007,Buenos Aires,Bahía Blanca,,,,way/290024045,,,,-38.6928,-62.3087,Museo de Ciencias,Castelli 3702,B8003APV,0291,4883266,,,,Municipal,1996,"Colecciones de fósiles y calcos, cuyo eje temático es la evolución desde el origen del universo hasta el presente, incluyendo al hombre. las salas destinadas a ciencia y tecnología tienen una propuesta interactiva.",1996,,,
300046,06,06056010,,MA-MUSEOS_AR-OSM-0008,Buenos Aires,Bahía Blanca,,,,node/7814458023,,,,-38.724527,-62.273735,Museo y Parque Estereoscópico El Histórico Café Museo,Italia 19,B8000DKA,,+54 9 291 4297821,,,,Privada,2006,Las colecciones predominantes son referidas a la historia de la ciudad: reliquias de la fortaleza protectora que dio origen a la ciudad; objetos de la vida cotidiana; parque estereoscópico de máquinas del 1900 en funcionamiento y demás curiosidades.,2006,,,
300047,06,06056010,,MA-MUSEOS_AR-OSM-0009,Buenos Aires,Bahía Blanca,,,,node/7817354007,,,,-38.7131,-62.2622,Museo de Arte Contemporáneo,Sarmiento 450,B8000HQJ,0291,+54 291 459-4006,2museos@bahia.gob.ar,,,Municipal,2007,"Cuenta con 250 obras obtenidas por medio de donaciones de artistas, particulares y mediante premios otorgados en bienales de arte. Los objetos de la colección del museo son: pinturas, esculturas, grabados, dibujos, videos, instalaciones, fotografías.",2008,,,
300048,06,06056010,,MA-MUSEOS_AR-OSM-0010,Buenos Aires,Bahía Blanca,,,,way/411695379,,,,-38.7152,-62.2603,Museo y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,B8000FLD,0291,4563117,,,,Municipal,1951,"Documentos escritos, fotográficos y fílmicos. Archivo histórico y fotografías sobre Bahía Blanca y uso cotidiano.",1951,,,
300049,06,06063010,,MA-MUSEOS_AR-OSM-0011,Buenos Aires,Balcarce,Q6940484,es:Museo del Automovilismo Juan Manuel Fangio,File:Museo_del_Automovilismo_JM_Fangio_Balcarce.jpg,way/697505672,,,,-37.85056,-58.255192,Museo del automovilismo 'Juan Manuel Fangio',Dardo Rocha 18,B7620BGN,,+54 2266-425540,archivo@museofangio.com,,,Privada,1986,"Colecciones dedicadas a rendir homenaje a Juan Manuel Fangio. Copas, medallas, trofeos y distintos presentes que recibiera desde 1936 hasta 1958. Se exhiben autos utilizados durante su campaña automovilística, junto con los de otros pilotos destacados.",1986,,,
300050,06,06063010,,MA-MUSEOS_AR-OSM-0012,Buenos Aires,Balcarce,,,,node/4421931287,,,,"-37,8605232","-58,2556909",Museo Histórico Municipal,32 y 35 Emplazado En El Cerro El Triunfo,B7620CFA,02266,421800,,,,Municipal,2008,"El museo ofrece un área arqueológica/paleontológica: orígenes de Balcarce, historia del territorio, hallazgos; un área sociocultural: instituciones, fiestas del partido, etc. y un área fotográfica con exposición de imágenes",2008,,,
300052,06,06490010,Código en Lomas de Zamora,MA-MUSEOS_AR-OSM-0013,Buenos Aires,Banfield,,,,,,,,-34.7482,-58.3946,Museo De Artes Plásticas Pío Collivadino,Medrano 165,B1828IPC,011,42025223,,,,Nacional,1892,"Obras de Pío Collivadino, de 1896 a 1945: óleos, dibujos, acuarelas, grabados, escenografías.",1992,,,
300053,06,06070010,,MA-MUSEOS_AR-OSM-0014,Buenos Aires,Baradero,,,,,,,,-33.817642,-59.49308,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,B2942EXR,03329,481689,aeroclub_baradero@hotmail.com,,,Privada,2000,"Aeronaves utilizadas durante la 2da guerra mundial; de Havillan Dove, DC-3, etc. Biblioteca aeronáutica, fotografías y cuadros de modelos de aviones de las Fuerzas Armadas Argentinas.",1996,,,
300057,06,06756010,Código en San Isidro,MA-MUSEOS_AR-OSM-0015,Buenos Aires,Beccar,,,,,,,,-34.458953,-58.520181,Museo Lucy Mattos,Avenida  Libertador 17426,B1643CRO,011,47322585,,,,Privada,,"Se exhibe la obra de Lucy Mattos, dibujos, escultura, joyería.",2012,,,
300064,06,06098010,,MA-MUSEOS_AR-OSM-0016,Buenos Aires,Berisso,,,,,,,,-34.901699,-57.921988,Museo de La Soda y El Sifón,60 N° 768 / 128 (rotonda),B1924CKS,0221,4248537,,,,Privada,,"La colección consta de 3800 sifones, máquinas de llenado antiguas, herramientas de sodería, cubre y porta sifones, publicidades, carteles enlozados, colección de botellas de gaseosas, sifoncitos de publicidad, botellas de soda, fotografías de soderías.",,,,
300065,06,06098010,,MA-MUSEOS_AR-OSM-0017,Buenos Aires,Berisso,,,,,,,,-34.877062,-57.856338,Asociación 1871 Museo De Berisso,Avenida  32 Esq. Montevideo,1923,0221,4613166,,,,Privada,2005,"El museo pretende contener toda la historia de la ciudad, desde su formación con un saladero hasta la actualidad, con secciones dedicadas a los inmigrantes, a la literatura local, objetos de uso cotidiano, etc.",2012,,,
300066,06,06098010,,MA-MUSEOS_AR-OSM-0018,Buenos Aires,Berisso,,,,,,,,-34.8687,-57.8837,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,B1923HMH,0221,4645574,,,,Municipal,1986,"Aves taxidermizádas de la zona ribereña local, huevos, fotos, nidos, mariposas y un acuario con peces de la región.",1986,,,
300067,06,06658010,Código en Quilmes,MA-MUSEOS_AR-OSM-0019,Buenos Aires,Bernal,,,,node/763213548,,,,-34.7123,-58.2849,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,B1876AWD,,+54 11 4180-5226,,,,Municipal,,"Las colecciones tienen su origen en donaciones de los vecinos de la zona y estas constan de pinturas, esculturas y grabados de artistas locales. Objetos históricos del siglo XIX, relacionados con las invasiones inglesas, el combate de Quilmes, etc.",,,,
,,,,MA-MUSEOS_AR-OSM-1112,Buenos Aires,Bransden,,,,node/6305084464,,,," -35,1673819","-58,2346373",Museo y Archivo Brandsen,,,,,,,,,,,,,,
300070,06,06028010,Código en Almirante Brown,MA-MUSEOS_AR-OSM-0020,Buenos Aires,Burzaco,,,,,,,,-34.7918,-58.3503,Museo Claudio León Sempere,Colón 581,B1852BSE,011,42997279,,,,Privada,1985,Esculturas de diferentes artistas nacionales y extranjeros contemporáneos.,1986,,,
300083,06,06266020,,MA-MUSEOS_AR-OSM-0021,Buenos Aires,Capilla del Señor,,,,node/2499968553,,,,-34.294305,-59.098521,Museo Del Periodismo Bonaerense,Rivadavia 477,B2812DII,,,,,,Municipal,1976,"Periódicos de la provincia, objetos históricos relacionados con el periodismo bonaerense, antigua máquina impresora francesa de 1871.",1972,,,
300084,06,06266020,,MA-MUSEOS_AR-OSM-0022,Buenos Aires,Capilla del Señor,,,,node/2563045193,,,,-34.295469,-59.100659,Museo de Arte Sacro Amalia Sosa Palacio de Carol,Bolívar 338,B2812AVH,,+54 2323 49-2981,,,,Privada,,"Contiene un amplio abanico que abarca desde el arte Napolitano pasando por un 80 % del arte Hispano-Americano terminando con obras contemporáneas y populares de fines del S. XIX y principios del XX. Contiene pinturas, imágenes, muebles ligados al catolic",2007,,,
300092,06,06007010,,MA-MUSEOS_AR-OSM-0023,Buenos Aires,Carhue,,,,node/1079388652,,,,-37.181184,-62.761667,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,6430,02936,430967,,,,Municipal,1967,"Objetos de las campañas al desierto; objetos y fotografías del fundador del pueblo de Adolfo Alsina, Hoy Carhué, Teniente General Nicolás Lavalle y de los primeros pobladores. Material lítico regional.",1967,,,
300094,06,06602030,,MA-MUSEOS_AR-OSM-0024,Buenos Aires,Carmen de Patagones,,,,way/360969332,,,,-40.803265,-62.985805,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,B8504BVB,,+54 2920 462729,,,,Provincial,,Elementos de la vida cotidiana entre 1779 y 1940 en la región. Guerra con Brasil 1825-1828. Comandante Luis Piedra Buena.,1951,,,
300095,06,06602030,,MA-MUSEOS_AR-OSM-0025,Buenos Aires,Carmen de Patagones,,,,way/360970252,,,,-40.799546,-62.990096,Museo Carmen de Patagones de la Prefectura Naval Argentina,Mitre 350,B8504BUF,02920,461742,,,,Nacional,1995,"Historia institucional, iconografía, maquetas, uniformes, armas, instrumental y equipamiento que hacen al funcionamiento de la institución.",1998,,,
,,,,MA-MUSEOS_AR-OSM-1107,Buenos Aires,Carmen de Patagones,,,,way/360970751,,,,-40.80350,-62.98525,Museo anexo 'Cardenal Cagliero',José Juan Biedma 34,,,,,,,,,,,,,
300108,06,06210020,,MA-MUSEOS_AR-OSM-0026,Buenos Aires,Chacabuco,,,,,,,,-34.6409,-60.4669,Museo y Archivo Histórico,Moreno 171,B6740EGC,02352,426699,,,,Municipal,1909,"El museo y archivo cuenta con un valioso acervo compuesto por documentos, fotografías, planos, testimonios, que nos permiten recorrer la trama social, política y económica de la comunidad a la que pertenece.",,,,
300114,06,06357080,,MA-MUSEOS_AR-OSM-0027,Buenos Aires,Chapadmalal,,,,,,,,-38.178051,-57.651372,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,5857,0223,4699291,,,,Nacional,,"Como punto de partida se cuenta la historia del complejo dentro del contexto histórico cultural del país de las décadas del 40´ y 50´, marcando hitos significativos como por ejemplo los planes quinquenales, las políticas desarrolladas para los obreros, e",,,,
300116,06,06217010,,MA-MUSEOS_AR-OSM-0028,Buenos Aires,Chascomus,,,,way/478857258,,,,-35.577998,-58.017113,Museo Pampeano,Avda. Lastra y Muñiz,B7130FRA,,+54 2241 430982,,,,Municipal,1943,"Referidas a la zona Pampeana y a la localidad de Chascomús, desde sus orígenes hasta la actualidad: objetos de uso personal, vestimentas, mobiliario, adornos, pinturas, elementos religiosos, documentos, fotografías, armas, numismática, medallística, arte",1941,,,
300119,06,06224010,,MA-MUSEOS_AR-OSM-0029,Buenos Aires,Chivilcoy,,,,node/6938521894,,,,-34.891366,-60.022753,Museo de Artes Plásticas Pompeo Boggio,Bolívar 319,B6620HBG,,+54 2346 422113,culturachivilcoy@hotmail.com,,,Municipal,1944,"Colección de obras de arte, pinturas, esculturas, dibujos, grabados, fotografías, tapices de autores locales y nacionales.",1962,,,
300120,06,06224010,,MA-MUSEOS_AR-OSM-0030,Buenos Aires,Chivilcoy,,,,,,,,-34.900377,-60.018883,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,B6620FKC,02346,422185,,,,Municipal,1943,"Reúne bienes vinculados con la historia dChivilcoy y su vida cotidiana, con especial énfasis en colecciones relacionadas con el trabajo agrícola - ganadero, comercial y artesanal. Funciona, junto al museo arqueológico.",1943,,,
300121,06,06224010,,MA-MUSEOS_AR-OSM-0031,Buenos Aires,Chivilcoy,,,,,,,,-34.895242,-60.022772,Museo Arqueológico Municipal,9 de Julio 177,B6620FKC,02346,422185,,,,Municipal,1972,"Comprende una colección de restos de megafauna extinta  procedente de diversos hallazgos en Paleosuelos localizados en Chivilcoy, como así bienes culturales de diversos grupos aborígenes que habitaron el territorio argentino.",1973,,,
300262,06,06840010,Código en Tres de Febrero,MA-MUSEOS_AR-OSM-0032,Buenos Aires,Ciudadela,,,,way/28516797,,,,-34.6311,-58.5433,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,B1702BDV,011,46531818,museoejercito@gmail.com; jorgenemi@hotmail.com,www.dahe.ejercito.mil.ar,,Nacional,1993,"Desarrollo de la historia militar desde las postrimerías de Virreinato hasta nuestros días. Expresando hechos y circunstancias que hicieron a la formación nacional. Através de sus salas, Malvinas, Del Libertador, Misiones de paz ONU, de infantería.",1993,,,
300263,06,06833020,,MA-MUSEOS_AR-OSM-0033,Buenos Aires,Claromeco,,,,,,,,-38.858268,-60.074491,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/n,7505,02982,480213,museoclaromeco@gimeil.com,,,Provincial,2007,"Material lítico indígena y paleontológico de la zona. Objetos de uso de los primeros pobladores, colección fotográfica, documentación, publicaciones, etc.",2007,,,
300307,06,06119050,,MA-MUSEOS_AR-OSM-0034,Buenos Aires,Coronel Brandsen,,,,,,,,-35.170389,-58.238246,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,B1980EIT,02223,3445628,,https://ilamdir.org/recurso/7541/micro-cosmo-museum,,Privada,1996,"Miniaturas y micromundo natural con más de dos millones de especímenes catalogados y clasificados. Aplica la más moderna tecnología. Historia de la microscopia. En las dependencias de este museo funcionan otros dedicados a especialidades como historia, c",2002,,,
300308,06,06189030,,MA-MUSEOS_AR-OSM-0035,Buenos Aires,Coronel Dorrego,,,,,,,,-38.717614,-61.288043,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,B8150CSK,02921,409228,,,,Municipal,1967,"Objetos de uso doméstico y comercial, fotografías, documentos de los primeros pobladores (1890); Ciencias Naturales. Material paleontológico, herramientas líticas.",1969,,,
300310,06,06196010,,MA-MUSEOS_AR-OSM-0036,Buenos Aires,Coronel Pringles,,,,,,,,-37.984408,-61.348839,Museo Antimuseo Pillahuincó,Cabrera 455,B7530DJI,02922,462680,,,,Municipal,,Piezas que muestran conductas equivocadas por parte del hombre hacia objetos históricos y su posterior destrucción.,,,,
300311,06,06196010,,MA-MUSEOS_AR-OSM-0037,Buenos Aires,Coronel Pringles,,,,,,,,-37.984122,-61.356787,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,7530,02922,4062680,,,,Municipal,1994,Carruajes pertenecientes a reconocidas familias locales.,,,,
300312,06,06196010,,MA-MUSEOS_AR-OSM-0038,Buenos Aires,Coronel Pringles,,,,node/4571077090,,,,-37.983559,-61.348544,Museo de Ciencias Naturales,Alem 1375,B7530ALE,02922,463688,,,,Mixta: Privada/Municipal,1909,Colecciones de paleontología y fauna local. Objetos arqueológicos.,1909,,,
300313,06,06196010,,MA-MUSEOS_AR-OSM-0039,Buenos Aires,Coronel Pringles,,,,,,,,-37.988799,-61.354054,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,B7530DJI,02922,462680,,,,Municipal,1909,"Pinturas de Pettoruti, Castagnino, Forte, Forner, Versacci y otros; esculturas, grabados.",1909,,,
300314,06,06196010,,MA-MUSEOS_AR-OSM-0040,Buenos Aires,Coronel Pringles,,,,,,,,-37.988799,-61.354054,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,7530,02922,462459,,,,Privada,1905,"Objetos vinculados a antiguos vecinos de Coronel Pringles; armas, arqueología. Evolución del hombre.",1971,,,
300315,06,06196010,,MA-MUSEOS_AR-OSM-0041,Buenos Aires,Coronel Pringles,,,,,,,,-37.983131,-61.358056,Museo Miguel G. Flesia,Stegmann 1032,B7530DBV,02922,466166,,,,Municipal,1988,"Objetos pertenecientes al primer maestro dCoronel Pringles, Miguel G. Flesia y a su familia.",1986,,,
300330,06,06238010,,MA-MUSEOS_AR-OSM-0042,Buenos Aires,Dolores,,,,,,,,-36.318665,-57.675217,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,B7100BIH,02245,442730,,,,Provincial,,"Colecciones referidas al poblamiento del sudeste bonaerense, desde 1810 en adelante: historia, medallística, iconografía, documentos; objetos gauchescos; numismática argentina. Ornitología de la región. Carruajes antiguos. Artículos de labranza. Bibliote",1940,,,
300331,06,06238010,,MA-MUSEOS_AR-OSM-0043,Buenos Aires,Dolores,,,,,,,,-36.318642,-57.67285,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,B7100ADJ,02245,446276,,,,Provincial,1990,Colecciones que reflejan la historia del colegio.,1991,,,
300348,06,06392040,,MA-MUSEOS_AR-OSM-0044,Buenos Aires,Emilio V. Bunge,,,,,,,,-34.782191,-63.196046,Museo Comunal Pedro Bargero,Gobernador Arias 496,B6241AIJ,03388,493535,bargero@servicoopsa.com.ar,,,Municipal,1984,"Mapas del siglo XIX, documentos y fotografías relacionadas con la región. Objetos pertenecientes al fundador de la ciudad, D. Emilio V. Bunge. Mobiliario, altar de madera tallada, útiles de labranza, máquinas fotográficas, numismática y medallística.",1984,,,
300349,06,06245010,,MA-MUSEOS_AR-OSM-0045,Buenos Aires,Ensenada,,,,,,,,-34.850396,-57.92042,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,B1925BNS,0221,4602370,,,,Privada,,"Colecciones dedicadas a los pueblos originarios y a los pescadores procedentes de Italia, Rusia, Alemania y Polonia que llegaron a la Argentina para radicarse en Ensenada. Recrea las costumbres e informa sobre labores y artesanías que realizaban.",,,,
300350,06,06245010,,MA-MUSEOS_AR-OSM-0046,Buenos Aires,Ensenada,,,,,,,,-34.8215,-57.9661,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,1925,0221,4691642,,,,Municipal,,"Objetos relacionados con la historia del fuerte desde la instalación de la 1ra. Batería en 1731; cartografia de la época, mobiliario atribuídos al Almirante Guillermo Brown. Elementos del primer avión Douglas que aterrizó en la Antártida y de otras aeron",1965,,,
300351,06,06245010,,MA-MUSEOS_AR-OSM-0047,Buenos Aires,Ensenada,,,,,,,,-34.84165,-57.893365,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,1927,0221,43172396,,,,Nacional,1979,"Documentos del Alte. Brown (1814). Primer texto de astronomía escrito para los cadetes de la Escuela Naval Militar. Cosmografía de Munster (1558). Mobiliario (1881). Escudos, emblemas y distintivos navales, pabellones de combate, banderas y estandartes.",1979,,,
300369,06,06274010,,MA-MUSEOS_AR-OSM-0048,Buenos Aires,Florencio Varela,,,,way/642793966,,,,-34.80208,-58.264498,Museo Histórico Provincial Guillermo E. Hudson,Calle 1356,1888,,+54 11 4251-1974,,,,Provincial,,"Funcionan tres salas con libros, documentos y objetos vinculados a la vida de Guillermo Enrique Hudson. En el frente del rancho natal del gran escritor y naturalista, de más de 200 años de antigüedad, se emplazan dos esculturas realizadas por Oberdan Bru",,,,
300370,06,06861010,Código en Vicente López,MA-MUSEOS_AR-OSM-0049,Buenos Aires,Florida,,,,,,,,-34.533,-58.4909,Museo De La Piedra Argentina,Esteban Echeverría 333,1602,011,47609138,,,,Privada,1975,Cristalografía en general; formaciones geológicas; paleontología.,1975,,,
300371,06,06861010,Código en Vicente López,MA-MUSEOS_AR-OSM-0050,Buenos Aires,Florida,,,,,,,,-34.526868,-58.491632,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,B1602AYD,011,47969556,,,,Privada,2001,"Ambientación de época con la intención de preservar la memoria de la comunidad de Florida. La forrajería era un negocio típico de principos del siglo XX. Este negocio en particular inicia sus actividades en 1920. Integran la muestra, balanzas, básculas,",2001,,,
300385,06,06301010,,MA-MUSEOS_AR-OSM-0051,Buenos Aires,General Belgrano,,,,,,,,-35.769121,-58.493413,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,B7223GUO,,,,,,Municipal,,"La colección proviene de la donación del Sr. Alfredo Múlgura. Contiene objetos líticos (morteros, piedras de boleadoras, etc.), gauchescos y rurales, fotografías de antiguos pobladores, artesanías. Colección de instrumentos musicales. Mobiliario de la pa",2001,,,
,,,,MA-MUSEOS_AR-OSM-1113,Buenos Aires,Gonnet,,,,node/5282239310,,,,"-34,8923369","-57,9971976",Museo del Ladrillo,Calle 514 1905,,,,,,,,,,,,,
300394,06,06322010,,MA-MUSEOS_AR-OSM-0052,Buenos Aires,Gral. la Madrid,,,,,,,,-37.252695,-61.259562,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,B7406AMK,,,,,,Municipal,,Consultar,1987,,,
300451,06,06441030,,MA-MUSEOS_AR-OSM-0053,Buenos Aires,La Plata,,,,,,,,-34.909535,-57.928953,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,1900,0221,4241596,,,,Nacional,,"Su patrimonio está formado por donación de distintas cátedras de la facultad de medicina, hospitales de la región y de particulres. Consta de 2000 piezas. Instrumental de distintas especialidades médicas y de las diferentes técnicas terapéuticas utilizad",,,,
300452,06,06441030,,MA-MUSEOS_AR-OSM-0054,Buenos Aires,La Plata,,,,node/4235795773,,,,-34.926257,-57.961684,Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,B1900TQU,0221,4176795,,,,Municipal,,Orientación testimonial y documentalista. Conserva como archivo los cuadernos con las declaraciones de los visitantes y en formato digital todas las fotografías que formaron parte de la muestra.,,,,
300453,06,06441030,,MA-MUSEOS_AR-OSM-0055,Buenos Aires,La Plata,,,,,,,,-34.91114,-57.930749,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,B1904AAO,0221,4236663,,,,Nacional,1909,Piezas anatómicas disecadas y desecadas de animales domésticos y silvestres,,,,
300454,06,06441030,,MA-MUSEOS_AR-OSM-0056,Buenos Aires,La Plata,,,,,,,,-35.001053,-57.902284,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,1909,0221,4501214,rimec7@uolsinectis.com.ar,,,Nacional,1988,"Material fotográfico, uniformes, armas, banderas, objetos personales.",,,,
300455,06,06441030,,MA-MUSEOS_AR-OSM-0057,Buenos Aires,La Plata,,,,node/4235795774,,,,-34.9246,-57.9331,Museo Almafuerte,Calle 66 530,B1904ASJ,0221,4275631,,,,Municipal,1909,"Colecciones referidas a la vida y obra de Almafuerte. Mobiliario, obras de arte, objetos de uso y manuscritos del poeta.",1909,,,
300456,06,06441030,,MA-MUSEOS_AR-OSM-0058,Buenos Aires,La Plata,,,,node/3497294736,,,,-34.913773,-57.947692,Museo Provincial de Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,B1900AVK,0221,4218619,,,,Provincial,1926,"Pintura europea siglos XVII al XIX. Arte argentino fundamentalmente de las décadas del 30 al 40; esculturas, dibujos y grabados de los siglos XIX y XX.",1926,,,
300457,06,06441030,,MA-MUSEOS_AR-OSM-0059,Buenos Aires,La Plata,,,,,,,,-34.8989,-58.0002,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",1900,0221,4842526,rodinfq@usa.net,,,Privada,1966,"Retratos de aborígenes, personajes de las letras y músicos, realizados por la pintora Yana Kúntur. Objetos indígenas de arte, tejidos, cerámica, instrumentos de labor y musicales. Altar Mapuche.",1966,,,
300458,06,06441030,,MA-MUSEOS_AR-OSM-0060,Buenos Aires,La Plata,,,,node/4002995831,,,,-34.9113,-57.9537,Museo de Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,B1900ADX,0221,4240401,museo azzarini@hotmail.com,,,Nacional,1985,"600 instrumentos musicales occidentales y etnográficos, de todas partes del mundo, desde el siglo XVII en adelante. Cajas de música y reproductores de sonido. Partituras, fonoteca y biblioteca especializada.",1989,,,
300459,06,06441030,,MA-MUSEOS_AR-OSM-0061,Buenos Aires,La Plata,,,,,,,,-34.9111,-57.9433,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,B1902CHQ,0221,4244684,,,,Privada,1986,"Artesanías tradicionales de cada provincia o región. Colecciones de piezas artesanales en tejido, cuero, fibra vegetal, metales, madera, alfarería, imaginería, etc.",1990,,,
